Company,returnOnEquity,industry,dividendYield,grossMargins,marketCap,returnOnAssets,trailingEps,enterpriseValue,forwardPE,sector,freeCashflow,netIncomeToCommon,profitMargins,totalRevenue,debtToEquity,beta,currentRatio,operatingMargins,trailingPE,quickRatio,forwardEps
ADT,0.00401,Security & Protection Services,0.028499998,0.79488,6878620160.0,0.04093,0.01,14655958016.0,9.65,Industrials,528334016.0,14296000.0,0.17255,5140299776.0,200.656,1.517,0.805,0.26365,772.0,0.409,0.8
ADTN,-0.57579,Communication Equipment,0.0677,0.34532002,647325440.0,-0.04581,-6.5,1193841792.0,38.904762,Technology,111602376.0,-512945984.0,-0.56988996,905347008.0,33.893,1.2,2.096,-0.05567,,0.941,0.21
ADTX,-34.93626,Biotechnology,,-0.46091998,3220844.0,-1.1760501,-1375.2,7759939.0,-0.032639503,Healthcare,-13256582.0,-43313332.0,,329739.0,126.761,1.081,0.073,-134.97112,,0.024,-11.29
ADUS,0.09026,Medical Care Facilities,,0.32532,2320130048.0,0.06269,4.37,2121325056.0,21.984535,Healthcare,119220248.0,73650000.0,0.064959995,1133805952.0,5.251,1.044,2.109,0.08956,29.279177,2.024,5.82
ADV,-0.17252001,Advertising Agencies,,0.14653,1057379328.0,0.01605,-0.57,2562744576.0,7.173913,Communication Services,151235248.0,-182832000.0,-0.03295,3990707968.0,182.456,1.559,1.901,-0.00638,,1.684,0.46
ADVM,-0.76255995,Biotechnology,,,161427408.0,-0.29826,-5.95,81449112.0,-1.45591,Healthcare,-47602500.0,-94111000.0,,1000000.0,50.836,1.008,5.824,-29.221,,5.541,-5.33
ADVWW,-0.17252001,Advertising Agencies,,0.14653,,0.01605,,,,Communication Services,151235248.0,-182832000.0,-0.03295,3990707968.0,182.456,1.559,1.901,-0.00638,,1.684,
ADX,0.23368,Asset Management,0.078200005,1.0,2513174016.0,0.00454,5.09,2791607296.0,,Financial Services,,625496000.0,17.99532,34758820.0,,0.941,0.764,0.4793,4.4223967,0.155,
ADXN,-1.26288,Biotechnology,,,11520909.0,-0.61713004,-19.18,1055894144.0,-215.59999,Healthcare,-5807696.0,-11856761.0,5.00165,863232.0,0.254,1.874,4.974,-7.80135,,4.67,-0.05
AE,-0.014839999,Oil & Gas Refining & Marketing,0.035099998,0.0155,70149560.0,0.00168,-0.52,74617568.0,195.14285,Energy,45458876.0,-1343000.0,-0.00046999997,2849907968.0,48.168,0.802,1.059,-0.00339,,0.911,0.14
AEAE,,Shell Companies,,,72407752.0,-0.11956,-0.16,72991056.0,,Financial Services,-531045.0,-1733198.0,,,,0.054,0.062,,,0.038,
AEAEW,,Shell Companies,,,,-0.11956,,,,Financial Services,-531045.0,-1733198.0,,,,0.054,0.062,,,0.038,
AEE,0.09838,Utilities - Regulated Electric,0.029000001,0.51148,24637454336.0,0.02856,4.25,43048431616.0,18.760162,Utilities,-2085374976.0,1132999936.0,0.16053,7057999872.0,152.976,0.462,0.633,0.31766,21.717648,0.304,4.92
AEF,0.08236,Asset Management,0.074200004,1.0,273552192.0,0.00847,0.5,308197792.0,,Financial Services,1863634.0,25349478.0,3.05458,8298844.0,11.261,0.991,0.05,0.66040003,10.78,0.049,
AEFC,,,,,,,,,,,,,,,,,,,,,
AEG,-0.013789999,Insurance - Diversified,0.0537,0.39441,10799622144.0,-0.00042,-0.08,11854379008.0,22.689655,Financial Services,4531874816.0,-158000000.0,-0.00236,12728000512.0,53.663,1.064,24.052,-0.0074400003,,4.408,0.29
AEHL,-0.75767,Building Products & Equipment,,0.05764,4529813.0,-0.35314998,18.68,8819664.0,,Industrials,2062424.0,-13117686.0,-0.19694,69082232.0,36.83,1.413,2.592,-0.15275,0.01659529,2.592,
AEHR,0.28764,Semiconductor Equipment & Materials,,0.50483,371867808.0,0.030450001,0.98,340742272.0,26.702127,Technology,-6566750.0,29142000.0,0.49635,58713000.0,5.474,2.039,6.026,0.01212,12.806123,3.028,0.47
AEI,-0.52155995,Real Estate - Development,,0.17181,13021519.0,-0.04468,-6.3,-12350230.0,,Real Estate,-6417549.0,-57289416.0,,9220976.0,3.771,1.26,12.882,-2.21912,,11.744,
AEIS,0.03985,Electrical Equipment & Parts,0.0034,0.35397,4407752704.0,0.01795,1.21,4412928000.0,23.493977,Industrials,75177248.0,45135000.0,0.02911,1471910016.0,56.907,1.484,4.616,0.05035,96.694214,3.145,4.98
AEM,0.05006,Gold,0.020499999,0.60511,39229460480.0,0.050079998,1.98,39815835648.0,17.133772,Basic Materials,1856667136.0,1012268992.0,0.12946999,7818693120.0,7.878,1.081,1.748,0.40647998,39.459595,0.689,4.56
AEMD,-1.05377,Medical Devices,,,5952621.0,-0.50463,-3.85,-2249801.0,-0.6471212,Healthcare,-5206360.0,-11497435.0,,,9.985,1.755,4.486,,,4.261,-0.66
AENT,0.05481,Entertainment,,0.11712,243735456.0,0.02831,-0.06,352535008.0,,Communication Services,57535124.0,4581000.0,0.00416,1100482944.0,125.339,0.405,1.326,0.0026800002,,0.632,
